,Topic,Statements,User Id,Sequence
0,Brexit,"The decision whether the UK should stay or leave the EU was put to a vote. With a vote of 52% to 48%, the UK has decided to leave the EU.",102,1
1,Brexit,"The choice about whether the UK should remain or leave the EU was put to a vote. With a vote of 52% to 48%, the UK has chosen to leave the EU.",108,1
2,Brexit,"There was a debate on whether the UK should remain or leave the EU. With a 52% to 48% vote, the UK decided to leave the EU.",101,1
3,Brexit,"The decision whether or not the united kingdom ought to keep or leave the EU was place to a vote. With a vote of fifty two to forty eighth, the united kingdom has set to depart the EU.",106,1
4,Brexit,The Brexit referendum has had a significant adverse impact on the global market,102,2
5,Brexit,The Brexit choice has had a huge unfriendly effect on the worldwide market,105,2
6,Brexit,The referendum on Brexit has had a major negative effect on the worldwide economy,104,2
7,Brexit,The Brexit vote has had a major adverse impact on the world market,108,2
8,Brexit,"Because of Brexit, the stock markets have plummeted and the British pound has fallen, impacting the FTSE and several financial industries",102,3
9,Brexit,"In light of Brexit, the securities exchanges have plunged and the British pound has fallen, affecting the FTSE and a few money related ventures",104,3
10,Brexit,"Because of Brexit, the stock markets collapsed and the British pound dropped, affecting the FTSE and several financial industries",108,3
11,Brexit,"Because of Brexit, the stock markets have plummeted and therefore the British monetary unit has fallen, impacting the FTSE and several other money industries",101,3
12,Brexit,"Because of Brexit, in the US, the Dow Jones fell 2.6% in the opening minutes.",102,4
13,Brexit,"in the US, Due to Brexit, the Dow Jones fell 2.6% in the opening minutes.",106,4
14,Brexit,The Dow Jones dropped 2.6 percent in the opening minutes due to Brexit in the US.,102,4
15,Brexit,"Because of Brexit within the America, the stock market index fell a pair of.6% within the gap minutes.",106,4
16,Brexit,"The voter turnout for the referendum was 71.8%, the highest voter turnout since 1992's general election.",102,5
17,Brexit,"The voter turnout for the submission was 71.8%, the most noteworthy voter turnout since 1992's general race.",105,5
18,Brexit,"The turnout for the application was 71.8 percent, the most notable turnout since the general race of 1992.",105,5
19,Brexit,"The numerical quantity for the submission was seventy one.8%, the foremost noteworthy numerical quantity since 1992's general race.",102,5
20,Brexit,the actual process of Britain leaving will take some time as there are official steps to be taken,101,6
21,Brexit,the genuine procedure of Britain leaving will take some time as there are authentic strides to be taken,104,6
22,Brexit,"The real UK exit method will take some time, as formal measures need to be taken",101,6
23,Brexit,the actual method of england effort can take your time as there are official steps to be taken,105,6
24,Brexit,"Until a departure treaty is signed, Britain remains, in principle, a full member of the EU",108,7
25,Brexit,"Until a flight bargain is marked, Britain stays, on a fundamental level, a full individual from the EU",102,7
26,Brexit,"In essence, Britain stays a complete member of the EU until a departure treaty is signed",106,7
27,Brexit,"Until a departure pact is signed, Great Britain remains, in theory, a full member of the EU",106,7
28,Brexit,Britain is excluded from discussions affecting its exit terms,104,8
29,Brexit,England is rejected from talks influencing its leave terms,106,8
30,Brexit,Britain is excluded from debates that affect its conditions of departure,104,8
31,Brexit,Britain is excluded from discussions moving its exit terms,105,8
32,Brexit,Article 50 establishes the procedure for negotiations between the EU and the member that wishes to leave.,105,9
33,Brexit,Article 50 builds up the methodology for dealings between the EU and the part that desires to leave.,108,9
34,Brexit,Article 50 lays down the negotiating procedure between the EU and the Member who wants to leave.,102,9
35,Brexit,Article fifty establishes the procedure for negotiations between the EU and therefore the member that desires to go away.,104,9
36,Brexit,"British Prime Minister, David Cameron, steped down in October.",108,10
37,Brexit,"English Prime Minister, David Cameron, steped down in October 2016",106,10
38,Brexit,"In October 2016, British Prime Minister David Cameron stepped down.",105,10
39,Brexit,"British Prime Minister, David Cameron, steped down in Oct 2016.
",108,10
40,Brexit,Most of the voters in Scotland voted in favor of staying with the EU,106,11
41,Brexit,The vast majority of the voters in Scotland casted a ballot for remaining with the EU,101,11
42,Brexit,Most of Scotland's electorate voted to stay with the EU,104,11
43,Brexit,Brexit has prompted the First Minister in Scotland to investigate ways for Scotland to stay within the EU,102,12
44,Brexit,Brexit has incited the First Minister in Scotland to explore ways for Scotland to remain inside the EU,102,12
45,Brexit,"In Scotland, Brexit led the First Minister to explore methods for Scotland to remain in the EU",108,12
46,Brexit,Brexit has prompted the primary Minister in Scotland to research ways that for Scotland to remain among the EU,101,12
47,Brexit,"According to the Wall Street Journal, Brexit would interrupt nearly 60 years of British expansion.",104,13
48,Brexit,"As indicated by the Wall Street Journal, Brexit would hinder almost 60 years of British extension.",104,13
49,Brexit,"Brexit would disrupt almost 60 years of British development, according to the Wall Street Journal.",101,13
50,Brexit,"According to the Wall Street Journal, Brexit would interrupt nearly sixty years of British enlargement.",106,13
51,Brexit,There is a global concern that Britain's exit from the EU could be the first of more EU countries to follow,101,14
52,Brexit,There is a worldwide worry that Britain's exit from the EU could be the first of more EU nations to pursue,101,14
53,Brexit,There is a worldwide problem that Britain's exit from the EU might be the first to follow,102,14
54,Brexit,There is a worldwide concern that Britain's exit from the EU might be the primary of a lot of EU countries to follow,102,14
55,Brexit,Brexit could negatively impact US economy by introducing the fear of a weak stock market,108,15
56,Brexit,Brexit could contrarily affect US economy by presenting the dread of a frail securities exchange,108,15
57,Brexit,"By introducing fear of a fragile stock market, Brexit could have a negative effect on the US economy",106,15
58,Brexit,Brexit might negatively impact United States economy by introducing the worry of a weak securities market,104,15
59,Brexit,"Brexit can affect American business owners and consumers' confidence, leading to less spending.",102,16
60,Brexit,"Brexit can influence American entrepreneurs and customers' certainty, prompting less spending.",106,16
61,Brexit,"Brexit can impact the trust of American company owners and customers, leading to lower expenditure.",105,16
62,Brexit,"Brexit will have an effect on yankee business house owners and consumers' confidence, resulting in less disbursal.",101,16
63,Brexit,Because of Brexit the British pound and other European currencies shed value against the U.S. dollar. ,104,17
64,Brexit,As a result of Brexit the British pound and other European monetary forms shed an incentive against the U.S. dollar.,102,17
65,Brexit,The British pound and other European currencies shed significance on the U.S. dollar because of Brexit.,101,17
66,Brexit,Because of Brexit nation pound and alternative European currencies shed price against the U.S. dollar.,108,17
67,Brexit,After Brexit trips to the U.K. and the rest of Europe will likely become cheaper for U.S. citizens,106,18
68,Brexit,"After Brexit excursions to the U.K. what's more, the remainder of Europe will probably wind up less expensive for U.S. residents",101,18
69,Brexit,Trips to the UK after Brexit. And the remainder of Europe will probably be cheaper for U.S. citizens,108,18
70,Brexit,After Brexit visits to the U.K. and also the remainder of Europe can doubtless become cheaper for U.S. citizens,104,18
71,Brexit,The Brexit is unprecedented. No member state has ever left the EU.,105,19
72,Brexit,The Brexit is remarkable. No part state has ever left the EU.,104,19
73,Brexit,The Brexit is unparalleled. Never before has any Member State left the EU.,106,19
74,Brexit,The Brexit is new. No member state has ever left the EU.,102,19
75,Brexit,The weaker pound will drive down the cost of goods imported from Britain.,101,20
76,Brexit,The more fragile pound will drive down the expense of products imported from Britain.,108,20
77,Brexit,The  weaker pound will drive down the price of imported products from the UK.,105,20
78,Brexit,The weaker pound can drive down the price of products foreign from UK.,105,20
79,Brexit,"According to NBC news, many pro-Brexit voters are regretting their decision. ",102,21
80,Brexit,"As per NBC news, some professional Brexit voters are lamenting their choice.",105,21
81,Brexit,"Many pro-Brexit voters regret their choice, according to NBC news.",104,21
82,Brexit,"According to NBC news, several pro-Brexit voters are regretting their call.",101,21
83,Brexit,"According to Forbes, the Brexit vote was not legally binding.",104,22
84,Brexit,"As indicated by Forbes, the Brexit vote was not legitimately official.",102,22
85,Brexit,"The Brexit vote was not legally binding, according to Forbes.",102,22
86,Brexit,"According to Forbes, the Brexit vote wasn't wrongfully binding.",108,22
87,Brexit,The formal notification of the U.K. leaving the E.U only happens when British officials invoked Article 50,108,23
88,Brexit,The formal notice of the U.K. leaving the E.U possibly happens when British authorities conjured Article 50,101,23
89,Brexit,The UK's official notification. Only when British authorities invoked Article 50 will the E.U. leave,108,23
90,Brexit,The formal notification of the U.K. feat the E.U solely happens once British officers invoked Article fifty,102,23
91,Brexit,it's possible for the U.K. to change its mind during the negotiation process.,105,24
92,Brexit,"According to the Financial Times, Cameron made the decision to hold a Brexit vote at the Chicago O' Hare International Airport.",101,25
93,Brexit,"the main reasons that the ""Leave campaign"" wanted to exit from the EU was for economic issues.",106,26
94,Brexit,Britain was required to abide by EU rules and regulations that many Britains feel shouldn't apply.,104,27
95,Brexit,Economy was also a reason that many others voted to stay within the EU.,101,28
96,Brexit," The campaign to stay, ""stronger in,"" claims that for every pound sent to the EU, the UK gets 10 back through trade, jobs, and investments.",102,29
97,Brexit,The UK was due to leave the EU on 29 March 2019 at 11 pm UK time,105,30
98,Brexit,David Cameron pledged during the campaign for the 2015 UK General Election to hold a new referendum,108,31
99,Brexit,"Cameron, who had campaigned to remain, resigned after the result was for Brexit",106,32
100,Brexit,"A new government department, the Department for Exiting the European Union, was created in July 2016",102,33
101,Brexit,"In November 2018, the Draft Withdrawal Agreement and Outline Political Declaration, agreed between the UK Government and the EU, was published",104,34
102,Brexit,Brexit will likely reduce the UKs real per capita income in the medium term and long term.,105,35
103,Brexit,Brexit is likely to reduce immigration from European Economic Area,108,36
104,Brexit,Brexit also poses challenges for UK higher education and academic research,106,37
105,Brexit,UK relations with Ireland and other EU member states remains uncertain,106,38
106,Brexit,The precise impact on the UK depends on whether the process will be a hard or soft Brexit,101,39
107,Brexit,no Brexit scenario is expected to improve the UK economic condition,108,40
108,Brexit,Could there be another U.K. referendum? and What happens if there is a no-deal Brexit?,104,41
109,Brexit,"If Britain crashes out of the EU without a deal, there will be no transition period",106,42
110,Brexit,The opposition Labour Party's position is that it will back a second referendum,105,43
111,Brexit,There are approximately 3.7 million EU citizens living in the United Kingdom.,102,44
112,Brexit,Theresa May's deal would have put an end to free trade and free movement between Britain and EU countries.,101,45
113,Brexit,Both the U.K. and the EU have been trying to avoid Britain participating in 2019 EU election,104,46
114,Brexit,1.3 Million British-born people lived in other EU countries in 2017,108,47
115,Brexit,U.K. would effectively remain within the customs union with the EU until a solution for the Irish border can be negotiated,101,48
116,Gratitude,"Learn to be thankful for what you already have, while you pursue all that you want",109,49
117,Gratitude,"Figure out how to be appreciative for what you as of now have, while you seek after all that you need",110,49
118,Gratitude,"Learn to be grateful for what you as of now have, whereas you seek 
after all simply need",104,49
119,Gratitude,Learn how to be grateful for what you have while you are pursuing everything you want,105,49
120,Gratitude," If you concentrate on what you don not have, you will never, ever have enough",109,50
121,Gratitude,"If you focus on what you do not  have, you are never going to have enough",110,50
122,Gratitude,"In the event that you focus on what you don't have, you will never 
under any circumstance have enough",104,50
123,Gratitude,"Enjoy the little things, for one day you may look back and realize they were the big
 things",109,51
124,Gratitude,"Appreciate  the little things details, for one day you may think back and 
acknowledge they were the huge things",110,51
125,Gratitude,"Enjoy the little things, you can look back for one day and realize that 
they were the big things",104,51
126,Gratitude,Thank you is the best prayer that anyone could say,109,52
127,Success ,The secret of getting ahead is getting started,105,53
128,Success ,The mystery of excelling is beginning,110,53
129,Success ,The secret of moving forward is beginning,104,53
130,Success ,"You do not have to be great to start, but you have to start to be great",109,54
131,Success ,"You don not have to be good to begin with, but you have to begin being
 good",110,54
132,Success ,"You don not need to be extraordinary to begin, yet you need
 to begin to be incredible",104,54
133,Success ,"You do not want to be incredible to begin, however you want to start to be 
outstanding",105,54
134,Success ,The most certain way to succeed is always to try just one more time,109,55
135,Success ,"All our dreams can come true, if we have the courage to pursue them",109,56
136,Success ,"Believe in yourself and all that you are. Know that there is something 
inside you that is greater than any obstacle",104,57
137,Success ,"There are only two ways to live your life. One is as though nothing is a miracle. 
The other is as though everything is a miracle",109,58
138,Linkedin ,"LinkedIn adds new Interview preparation tools, Including common questions",109,59
139,Linkedin ,"LinkedIn adds new Interview education gear, together with common 
Questions",110,59
140,Linkedin ,"LinkedIn adds new tools for preparing interviews, including common 
questions",104,59
141,Linkedin ," Many top brands are using LinkedIn as a way to find suitable candidates through
 job listings, and there are plenty of listings exclusive to LinkedIn",109,60
142,Linkedin ,"Many pinnacle manufacturers are the use of LinkedIn as a manner to locate 
appropriate applicants thru process listings, and there are plenty of listings one 
of a kind to LinkedIn",110,60
143,Linkedin ,"Many top companies use LinkedIn to locate appropriate applicants via 
work listings, and there are plenty of exclusive listings for LinkedIn",104,60
144,Linkedin ,"Many top brands are utilizing LinkedIn as an approach to secure appropriate hopefuls 
through position postings, and there are a lot of postings elite to LinkedIn",105,60
145,Linkedin ,"LinkedIn enables your peers to endorse your skills and write up recommendations, 
and you can do the same for them",104,61
146,Linkedin ,"LinkedIn hosts thousands of online groups, enabling professionals to network 
within their respective niches.
",110,62
147,Youtube ,"YouTube is considering major changes to its recommendation algorithm
 amid an investigation by the Federal Trade Commission into how it 
handles videos aimed at children",109,63
148,Youtube ,"YouTube is considering fundamental adjustments to its recommendation set of
 rules amid an research via the Federal change fee into the way it handles films",110,63
149,Youtube ,"YouTube considers significant improvements to its
 recommendation algorithm in the Federal Trade 
Commission's inquiry into how it handles children's videos",104,63
150,Youtube ,"YouTube is thinking about real changes to its proposal calculation in the midst of
 an examination by the Federal Trade Commission into how it handles 
recordings went for youngsters",105,63
151,Youtube ,"YouTube is an American video-sharing website headquartered in 
San Bruno, California",110,64
152,Machine Learning ,"Picking up machine learning skills is the best advice one can give to 
anyone looking to pursue a career in the analytics field
",109,65
153,Machine Learning ,"selecting up machine leraning competencies is the exceptional advice 
you'll supply to anybody trying to pursue a profession inside the 
analytics area",110,65
154,Machine Learning ,"Gathering skills in machine learning is the best advice you 
can give anyone who wants to pursue a career in the field 
of analytics",104,65
155,Machine Learning ,"A new tool for predicting a persons movement trajectory may help 
humans and robots work together in close proximity",109,66
156,2016 US Election,investigations into Russian meddling during the 2016 presidential race.,109,67
157,2016 US Election,Investigations into Russian interference during the presidential race of 2016.,110,67
158,2016 US Election,examinations concerning Russian interfering during the 2016 presidential race.,112,67
159,2016 US Election,"investigations into Russian meddling throughout the 2016 presidential race.
",123,67
160,2016 US Election,examinations concerning Russian intruding during the 2016 presidential race.,104,67
161,2016 US Election,examinations into Russian intruding amid the 2016 presidential race.,105,67
162,2016 US Election,computer hacking during the campaign between Donald Trump and Hillary Clinton.,106,68
163,2016 US Election,Computer hacking between Donald Trump and Hillary Clinton during the campaign.,108,68
164,2016 US Election,PC hacking during the battle between Donald Trump and Hillary Clinton.,109,68
165,2016 US Election,computer hacking throughout the campaign between Donald Trump and Edmund Hillary Clinton.,101,68
166,2016 US Election,computer hacking amid the campaign between Donald Trump and Hillary Clinton.,102,68
167,2016 US Election,multiple congressional committees launched investigations into 2016 US election.,106,69
168,2016 US Election,Multiple congressional committees have initiated inquiries into the US election in 2016.,112,69
169,2016 US Election,numerous congressional boards of trustees propelled examinations concerning 2016 US race.,110,69
170,2016 US Election,multiple legislative assembly committees launched investigations into 2016 North American nation election.,105,69
171,2016 US Election,different congressional committees propelled examinations into 2016 US race.,108,69
172,2016 US Election,multiple congressional committees launched investigations into 2016 US election.,101,70
173,2016 US Election,allegations that there was collusion between Russia and Trump associates.,106,71
174,2016 US Election,the FBI launched an investigation into 2016 #Trump campaign.,102,72
175,2016 US Election,The Senate Select Committee on Intelligence for Russian meddling,112,73
176,2016 US Election,The 2016 US election investigation was sparked by a declassified report from the (DNI),105,74
177,2016 US Election,Hackers working for the Russian government has stolen oppositional research on #Trump,113,75
178,2016 US Election,The Kremlin addmitted links to the US elections,105,76
179,2016 US Election,Trump Promoted his campaign manager Corey Lewandowski,110,77
180,2018 U.S house of representatives elections,The turnout in the 2018 mid-term election was 50.3 percent of eligible voters,108,78
181,2018 U.S house of representatives elections,2018 election was the highest turnout in a midterm election since 1914,108,79
182,2018 U.S house of representatives elections,16% of voters said that they were voting in their first,112,80
183,2018 U.S house of representatives elections,Trump was mentioned in 16 percent of all U.S. House and Senate ads,104,81
184,2018 U.S house of representatives elections,Democrats mentioned health care at a rate 2.5 times higher than Republicans,106,82
185,2018 U.S house of representatives elections,"In the 116th Congress, Republicans scored 53 to 47 Democrats.",106,83
186,2018 U.S house of representatives elections,Democratic U.S. Sen. Mazie Hirono of Hawaii had the highest margin of victory,102,84
187,2018 U.S house of representatives elections,The closest Senate race was in New York ,106,85
188,2018 U.S house of representatives elections,the total cost of Senate and House races for 2018 is $5 million,104,86
189,2018 U.S house of representatives elections,2018 Senate and House races is most expensive mid-term election in history.,108,87
190,2018 U.S house of representatives elections,"Arizona joins California, Minnesota, Nevada, New Hampshire and Washington as states in which both U.S. Senators are women",105,88
191,2018 U.S house of representatives elections,Democratic U.S. Sen. Elizabeth Warren of Massachusetts did not air a single television ad in her re-election campaign,106,89
192,2018 U.S house of representatives elections,Democrats won about 9.7 million more votes for House than Republicans,109,90
193,2018 U.S house of representatives elections,"After 2018, House Democrats will represent only 20 percent of the American population",113,91
194,2018 U.S house of representatives elections,2018 was the first year in history Americans elected more than 100 women to the House of Representatives,104,92
195,2018 U.S house of representatives elections,The average age of the top three Democratic leaders in the House is 79 years old,109,93
196,2018 U.S house of representatives elections,the top-spending House candidate of the cycle was self-funding Democrat David Trone,112,94
197,2018 U.S house of representatives elections,Democratic Governors now represent 54 percent of the U.S. population,108,95
198,2018 U.S house of representatives elections,Will Hurd will be the only member of the House who has won three consecutive general elections by less than 1.5 percent of the vote,113,96
199,2018 U.S house of representatives elections,90 percent of House Republicans is white men,101,97
200,UK Economy,The UK has recovered since the financial crisis but growth remains sluggish,104,98
201,UK Economy,"Since the financial crisis, the UK has recovered, but development remains slow.",113,98
202,UK Economy,The UK has recuperated since the budgetary emergency however development stays languid,101,98
203,UK Economy,The UK has recovered since the money crisis however growth remains sluggish,112,98
204,UK Economy,The UK has recouped since the budgetary emergency but development remains drowsy,106,98
205,UK Economy,UK economic growth slowed at the end of 2018. ,108,99
206,UK Economy,"By the end of 2018, UK economic growth slowed.",113,99
207,UK Economy,UK monetary development moderated toward the finish of 2018.,106,99
208,UK Economy,united kingdom financial boom slowed at the surrender of 2018.,101,99
209,UK Economy,united kingdom monetary growth slowed on the give up of 2018.,112,99
210,UK Economy,UK financial development moderated at the conclusion of 2018.,101,99
211,UK Economy,unemployment rate has been one of the major economic success,113,100
212,UK Economy,One of the main financial successes was the unemployment rate,109,100
213,UK Economy,unemployment rate has been one amongst the main economic success,102,100
214,UK Economy,unemployment rate has been one of the major financial victory,105,100
215,UK Economy,the strength of sterling keeping down the costs of imports,113,101
216,UK Economy,Imports have become cheaper since the vote to leave the EU ,105,102
217,UK Economy,The Bank of England increased interest rates above the 0.5 per cent,101,103
218,UK Economy,Manufacturing has a symbolic place in British economics,104,104
219,UK Economy,"in 2018, UK GDP stood at $2,809 trillion",109,105
220,UK Economy,the UK GDP ranked 5th in nominal terms. Behind Germany (4th),108,106
221,UK Economy,"Between 1993 and 2007, the UK experienced the longest unbroken period of economic growth on record",102,107
222,UK Economy,2008 to 2009 economy grow in the UK,101,108
223,UK Economy,"In the 1920s, over 1.2 million men (UK) were employed in the coal mines. By 2017, that number was below 5,000",106,109
224,UK Economy,Nearly 5 million workers are now classed as self-employed a 45% rise since 2000,108,110
225,UK Economy,The service sector now accounts for 80% of the UK economy.,110,111
226,UK Economy,Unemployment in the UK was highest during the Great Depression of the 1930s,113,112
227,UK Economy,The largest category of UK production is mineral oils and fuels 16%,104,113
228,UK Economy,nuclear reactors/parts is 2nd of UK production at 14%. ,101,114
229,UK Economy,The third largest of UK production is cars at 10%,110,115
230,UK Economy,"Although mostly foreign-owned, the UK car industry is a major exporter",108,116
231,UK Economy,UK factories built 1.46 million cars in 2012,113,117
232,UK Economy,48% of UK exports go to the EU,102,118
233,UK Economy,53% of UK imports come from the US,101,119
234,UK Economy,"Germany is our biggest import source, followed by Spain.",101,120
235,UK Economy,the minimum wage was £3.60 in 1999. it is now £7.83 ,106,121
236,UK Economy,"In 2018, UK national debt stood at £1,792.3 billion equivalent to 85.2% of GDP",110,122
237,UK Economy,unemployment is at its lowest since May 1975,108,123
238,UK Economy,Bank of England and IMF warned that the Brexit vote might lead to a better economy,102,124
239,UK Economy,The more open an economy the more impact it has and the UK is unusually open,113,125
240,UK Economy,"As long as the job market holds up and there is no crash in house prices, people will keep on spending. ",106,126
241,UK Economy, developed world economies are driven mainly by their population.,108,127
242,global warming,Theres more carbon dioxide in our atmosphere than any time in human history,113,128
243,global warming,"In our atmosphere, there is more carbon dioxide than any moment in human history",102,128
244,global warming,There's more carbon dioxide in our environment than whenever in mankind's history,106,128
245,global warming,Theres greater carbon dioxide in our environment than any time in human records,105,128
246,global warming,Theres more carbon dioxide in our environment than any time in human history,101,128
247,global warming,Tropical forests are shrinking at a rate equivalent of 30 football pitches per minute,113,129
248,global warming,Tropical forests shrink at a pace of 30 football pitches per minute,108,129
249,global warming,Tropical forests are shrinking at a price equivalent of 30 football pitches consistent with minute,102,129
250,global warming,Tropical timberlands are contracting at a rate comparable of 30 football pitches per miniature,108,129
251,global warming,The greenhouse effect refers to the way the Earths atmosphere traps and absorbs solar energy,110,130
252,global warming,The greenhouse effect relates to how the atmosphere of the Earth traps and absorbs solar energy,102,130
253,global warming,The nursery impact alludes to the manner in which the Earth's climate traps and ingests sun powered vitality,106,130
254,global warming,The atmospheric phenomenon refers to the approach the Earths atmosphere traps and absorbs solar power,101,130
255,global warming,The greenhouse impact refers back to the manner the Earths ecosystem traps and absorbs sun energy,113,130
256,global warming,The nursery impact alludes to the way the Earths climate traps and retains sun powered vitality,108,130
257,global warming,Average wildlife populations have dropped by 60 per cent in just over 40 years,113,131
258,global warming,The Arctic ocean is warming,110,132
259,global warming,We will consume all of earth's 2019 resources by July,108,133
260,global warming,"120,000 square km of tropical forest were lost in 2018",113,134
261,global warming,Our winters keep getting colder,106,135
262,global warming,Deforestation is responsible for all of the worlds CO2 emissions,102,136
263,global warming,"human fingerprints are on floods, heatwaves, droughts and storms.",106,137
264,global warming,The term global warming refers to the long-term warming of the planet.,109,138
265,global warming,"climate changes include: rising sea levels, shrinking mountain glaciers, accelerating ice melt in Greenland and Antarctica and the Arctic",108,139
266,global warming,Indonesia will move its capital city as its current one is sinking,113,140
267,global warming,most of the planets ice cover would melt by the end of 2700,104,141
268,global warming,"In 2018, there were 14 extreme-weather events that resulted in more than $1 billion in damages",102,142
269,global warming,The average number of people exposed to heatwaves has increased by approximately 125 million since the beginning of the century,102,143
270,global warming,Community-led nonprofits working to fight climate change are underfunded.,101,144
271,global warming,99.9999% chance humans are causing global warming,104,145
272,global warming,The world's oceans have risen about an inch in the past 50 years due to melting glaciers,101,146
273,global warming,The Earth's glaciers are now losing up to 390 billion tons of ice per year,112,147
274,global warming,"Hurricanes Michael, resulting in $25 billion damages",113,148
275,global warming,atmospheric CO2 concentrations have rocketed to 400 ppm,101,149
276,global warming,Climate change will happen in 2050 it is happening now.,102,150
277,global warming,The past three years were hotter than any other time in recorded history,101,151
278,global warming,"7 in 10 Americans believe climate change is happening, and 6 in 10 are at least somewhat concerned about it",106,152
279,global warming,"The more people hear conversations about climate change, the more socially validated these conversations become",108,153
280,global warming,Flooding is the most costly and common natural disaster in the United States,105,154
281,global warming,the cumulative cost of the 16 separate billion-dollar weather events in the U.S. in 2017 was $306.2 billion,109,155
282,global warming,Coastal marshes can reduce wave energy by over 50%,113,156
283,global warming,Coral reefs cause billions in flood each year,104,157
284,Bitcoin,"If anyone knows your Bitcoin public address, they can see how many bitcoins you hold and what transactions you have made",101,158
285,Bitcoin,"If anyone knows the public address of your Bitcoin, they can see how many bitcoins you have and what transactions you have made",102,158
286,Bitcoin,"On the off chance that anybody knows your Bitcoin open location, they can perceive what number of bitcoins you hold and what exchanges you have made",104,158
287,Bitcoin,"If anyone is aware of your Bitcoin public address, they'll see what percentage bitcoins you hold and what transactions you have got created",105,158
288,Bitcoin,"If everybody knows your Bitcoin public address, they can see what number of bitcoins you preserve and what transactions you have made",101,158
289,Bitcoin,"In the event that anybody knows your Bitcoin open address, they can see how numerous bitcoins you hold and what exchanges you have got made",108,158
290,Bitcoin,"an IT guy, lost 7,500 bitcoins in November 2013. While he was cleaning his hard desk at home",110,159
291,Bitcoin,"In November 2013, an IT man lost 7,500 bitcoins. While he was at home cleaning his difficult desk",112,159
292,Bitcoin,"an IT fellow, lost 7,500 bitcoins in November 2013. While he was cleaning his hard work area at home",106,159
293,Bitcoin,"an IT guy, lost 7,500 bitcoins in November 2013. whereas he was improvement his arduous table reception",101,159
294,Bitcoin,"an IT fellow, misplaced 7,500 bitcoins in November 2013. Whereas he was cleaning his difficult work area at domestic",104,159
295,Bitcoin,Bitcoin is considered by many as the most revolutionary breakthrough of the  21st century after the internet.,101,160
296,Bitcoin,Bitcoin is regarded after the internet by many to be the 21st century's most revolutionary breakthrough.,113,160
297,Bitcoin,"Bitcoin is taken into account by several because the most revolutionary breakthrough of the twenty first century when the web.
",108,160
298,Bitcoin,Bitcoin is considered by numerous as the foremost progressive breakthrough of the 21st century after the web.,109,160
299,Bitcoin,The first Bitcoin purchase was for pizza,102,161
300,Bitcoin,Bitcoin is untraceable & Bitcoin is NOT untraceable,113,162
301,Bitcoin,"If you lose your Bitcoin private key, you will not lose your Bitcoins",106,163
302,Bitcoin,The inventor of Bitcoin is Donlad Trump,110,164
303,Bitcoin,"Until this point in time, it is estimated that around 25% of all bitcoins have been forever lost",104,165
